sample,autosomal_callable_bp
4512-JFI-0410_BXD013_TyJ_phased_possorted_bam,2139642849.1431425
4512-JFI-0364_BXD031_TyJ_phased_possorted_bam,2145844379.7762825
4512-JFI-0405_BXD210_phased_possorted_bam,2147250314.1311023
4512-JFI-0491_BXD213_phased_possorted_bam,2142666356.6636658
4512-JFI-0360_BXD227_phased_possorted_bam,2142263949.6801777
4512-JFI-0422_BXD198_phased_possorted_bam,2149302646.838783
4512-JFI-0397_BXD049_RwwJ_phased_possorted_bam,2141252604.6885421
4512-JFI-0461_BXD61_RwwJ_phased_possorted_bam,2143756296.9322393
4512-JFI-0383_BXD009_TyJ_phased_possorted_bam,2131979432.771974
4512-JFI-0358_BXD40_TyJ_phased_possorted_bam,2145044772.7179453
4512-JFI-0463_BXD83_RwwJ_phased_possorted_bam,2139201942.3711276
4512-JFI-0468_BXD209_phased_possorted_bam,2147604404.806619
4512-JFI-0386_BXD65_RwwJ_phased_possorted_bam,2136279083.2153487
4512-JFI-0417_BXD148_phased_possorted_bam,2141316303.2765803
4512-JFI-0391_BXD157_phased_possorted_bam,2145479074.3796418
4512-JFI-0372_BXD008_TyJ_phased_possorted_bam,2135669332.6400473
4512-JFI-0421_BXD056_RwwJ_phased_possorted_bam,2141043351.8358424
4512-JFI-0412_BXD190_phased_possorted_bam,2147670635.9839725
4512-JFI-0375_BXD221_phased_possorted_bam,2113881663.9460685
4512-JFI-0425_BXD187_phased_possorted_bam,2137385537.0416174
4512-JFI-0420_BXD78_2_RwwJ_phased_possorted_bam,2146430857.893135
4512-JFI-0344_BXD29_Ty_phased_possorted_bam,2142037058.7408252
4512-JFI-0484_BXD171_phased_possorted_bam,2144096217.6481118
4512-JFI-0454_BXD124_RwwJ_phased_possorted_bam,2145155346.8344836
4512-JFI-0480_BXD204_phased_possorted_bam,2140973114.346891
4512-JFI-0436_BXD99_RwwJ_phased_possorted_bam,2140952819.536324
4512-JFI-0489_BXD43_RwwJ_phased_possorted_bam,2150008255.6193767
4512-JFI-0369_BXD036_TyJ_phased_possorted_bam,2143069871.9352012
4512-JFI-0345_BXD029_Tlr4_J_phased_possorted_bam,2143134911.6022558
4512-JFI-0387_BXD65a_RwwJ_phased_possorted_bam,2138098029.9737947
4512-JFI-0414_BXD91_RwwJ_phased_possorted_bam,2139764737.898545
4512-JFI-0415_BXD032_TyJ_phased_possorted_bam,2135663292.6246347
4512-JFI-0483_BXD064_RwwJ_phased_possorted_bam,2141951687.9864337
4512-JFI-0435_BXD84_RwwJ_phased_possorted_bam,2144755531.4429526
4512-JFI-0432_BXD21_TyJ_phased_possorted_bam,2144341780.2698858
4512-JFI-0430_BXD002_RwwJ_phased_possorted_bam,2147016777.0765193
4512-JFI-0481_BXD19_TyJ_phased_possorted_bam,2137670864.000682
4512-JFI-0446_BXD74_RwwJ_phased_possorted_bam,2086679741.7739437
4512-JFI-0460_BXD67_RwwJ_phased_possorted_bam,2135635175.206169
4512-JFI-0366_BXD196_phased_possorted_bam,2139479464.4719129
4512-JFI-0428_BXD176_phased_possorted_bam,2149595234.111406
4512-JFI-0368_BXD011_TyJ_phased_possorted_bam,2144306432.6399362
4512-JFI-0490_BXD177_phased_possorted_bam,2145004859.516114
4512-JFI-0416_BXD186_phased_possorted_bam,2142089835.6512928
4512-JFI-0476_BXD215_phased_possorted_bam,2113726981.3967
4512-JFI-0357_BXD156_phased_possorted_bam,2144146981.3331304
4512-JFI-0479_BXD197_phased_possorted_bam,2121118777.8466742
4512-JFI-0348_BXD24_TyJ_Cep290_J_phased_possorted_bam,2141861983.9951193
4512-JFI-0424_BXD111_phased_possorted_bam,2144703027.0371437
4512-JFI-0362_BXD155_phased_possorted_bam,2142082142.6829782
4512-JFI-0443_BXD216_phased_possorted_bam,2123000617.9596374
4512-JFI-0378_BXD70_RwwJ_phased_possorted_bam,2128456336.2384331
4512-JFI-0401_BXD127_phased_possorted_bam,2145938121.4713964
4512-JFI-0352_BXD144_phased_possorted_bam,2145086071.850178
4512-JFI-0347_BXD024_TyJ_phased_possorted_bam,2136614806.1226685
4512-JFI-0487_BXD81_RwwJ_phased_possorted_bam,2141411686.9204853
4512-JFI-0486_BXD045_RwwJ_phased_possorted_bam,2142635419.8625956
4512-JFI-0385_BXD174_phased_possorted_bam,2134197867.2967434
4512-JFI-0423_BXD75_RwwJ_phased_possorted_bam,2138808339.3726082
4512-JFI-0389_BXD5_TyJ_phased_possorted_bam,2142094834.8763833
4512-JFI-0494_BXD147_phased_possorted_bam,2142220603.6973484
4512-JFI-0469_BXD100_RwwJ_phased_possorted_bam,2143758037.0746505
4512-JFI-0449_BXD214_phased_possorted_bam,2097375537.086188
4512-JFI-0394_BXD162_phased_possorted_bam,2145020765.7399907
4512-JFI-0470_BXD27_TyJ_phased_possorted_bam,2144836420.7273285
4512-JFI-0440_BXD073b_RwwJ_phased_possorted_bam,2111487012.681442
4512-JFI-0451_BXD33_TyJ_phased_possorted_bam,2049815679.0120668
